menu_name,restaurants_id,category_id
야끼소바빵st 치아바타,1,101
오코노미야끼st 곡물볼,1,101
베이컨잠봉 치아바타,1,101
크런치비프 라이트랩,1,101
그라브락스 연어 포케볼,1,101
멕시칸 랩,1,101
칠리베이컨 포케볼,1,101
더블 치킨 파스타 박스,1,101
로스트닭다리살 샐러디,1,101
그라브락스 연어 샐러디,1,101
우삼겹메밀면 누들볼,1,101
탄단지 샐러디,1,101
콥 샐러디,1,101
노릇두부단호박 샐러디,1,101
로스트삼겹 포케볼,1,101
우삼겹 포케볼,1,101
노릇노릇두부 포케볼,1,101
바베큐닭다리살 포케볼,1,101
그라브락스 연어 파스타 누들볼,1,101
비빔메밀면 누들볼,1,101
고소삼겹 들기름파스타 누들볼,1,101
더블 삼겹 박스,1,101
더블 닭다리살 박스,1,101
허니에그 라이트랩,1,101
스파이시치킨 라이트랩,1,101
치킨 치아바타,1,101
튜나 치아바타,1,101
비프에그마요 치아바타,1,101
바질연어 치아바타,1,101
칠리베이컨 곡물랩,1,101
고소우삼겹 곡물랩,1,101
바베큐닭다리살 곡물랩,1,101
튜나샐러드 랩,1,101
시저치킨 랩,1,101
로스트닭다리살 랩,1,101
에그마요 랩,1,101
채소볼,1,101
포케볼,1,101
메밀면볼,1,101
파스타볼,1,101